Game,Returner Name,Frechet Distance,Yards Gained,Yards Gained Percentage,Returning Team,Defending Team
37,Jabrill Peppers,6.9321756,19.78,21.22317597,NYG,DAL
38,Andre Roberts,7.031001108,2.01,2.007189934,BUF,LAC
39,Diontae Spencer,4.040590615,11.6,11.13992125,DEN,LV
40,Tommylee Lewis,19.14358834,1.61,1.581066483,NO,PHI
41,Ted Ginn,7.486363215,12.9,12.20666162,CHI,IND
42,Chad Beebe,6.553142844,1.07,0.992118683,MIN,SEA
43,David Moore,9.325999014,16.12,18.08188446,SEA,NYG
44,Jakeem Grant,9.275139147,13.87,13.61539217,MIA,CIN
45,CeeDee Lamb,13.17189058,8.25,7.679419157,DAL,SEA
46,Trent Taylor,8.833227159,5.33,4.948013368,SF,PHI
47,Desmond King,6.940276555,5.56,5.110294118,LAC,JAX
48,Jakeem Grant,4.720790327,14.11,14.51646091,MIA,NYJ
49,Diontae Spencer,12.69718512,0.57,0.563909774,DEN,MIA
50,Alex Erickson,5.009918824,6.74,6.71314741,CIN,PIT
51,Diontae Spencer,3.863284383,12.43,13.05946627,DEN,NYJ
52,Nyheim Hines,2.847347913,6.28,6.595253098,IND,JAX
53,Dwayne Harris,7.312698181,4,3.974167909,CHI,TEN
54,K.J. Hill,23.33412061,1.72,1.661193742,LAC,ATL
55,Braxton Berrios,4.217012114,22.26,19.94981179,NYJ,LA
56,Jakeem Grant,6.133706949,6.63,7.167567568,MIA,SF
57,James Proche,5.242715606,14.02,18.13712807,BAL,PHI
58,Keelan Cole,4.725424712,17.1,17.17039863,JAX,GB
59,K.J. Hill,2.856047129,13.37,12.45110821,LAC,LV
60,Kalif Raymond,3.456480021,11.28,11.85122925,TEN,IND
61,Christian Kirk,7.475510185,3.94,3.642414718,ARI,NYJ
62,CeeDee Lamb,3.86452877,8.19,8.238607786,DAL,WAS
63,Tommylee Lewis,1.387224747,15.65,14.67141652,NO,ATL
64,Jakeem Grant,4.39145709,7.37,7.015706806,MIA,LV
65,Andre Roberts,5.410313263,2.65,3.017879513,BUF,DEN
66,Greg Ward,4.266673792,15.41,15.40845915,PHI,WAS
67,Hunter Renfrow,10.04017928,12.64,16.50992685,LV,LAC
68,Keelan Cole,4.052638464,93.68,85.44326888,JAX,GB
69,Tyler Ervin,3.422913623,13.08,14.07662505,GB,PHI
70,James Proche,6.324239721,14.33,13.30053833,BAL,KC
71,Pharoh Cooper,19.65573741,13.29,14.58676325,CAR,MIN
72,Trent Taylor,4.14780926,18.86,18.13461538,SF,SEA
73,D.J. Reed,3.849023532,15.29,17.1720575,SEA,WAS
74,Nyheim Hines,3.313673183,11.42,13.1324747,IND,MIN
75,Andre Roberts,7.860908515,21.17,19.22972114,BUF,SF
76,Cedrick Wilson,20.22265599,82.32,73.32977018,DAL,PIT
77,Kenjon Barner,14.45395448,5.28,4.865014282,TB,DET
78,Cooper Kupp,5.42823184,4.53,4.938406192,LA,NYG
79,Donovan Peoples-Jones,6.081228063,13.61,13.48058637,CLE,DAL
80,Gunner Olszewski,2.810930853,12.94,13.92445927,NE,MIA
81,Marquez Callaway,3.27542103,17.76,19.5207738,NO,LAC
82,Nyheim Hines,5.613955031,9.94,10.30158566,IND,HOU
83,Greg Ward,4.12257444,6.11,5.979058616,PHI,NO
84,Braxton Berrios,8.261839696,12.79,12.38021489,NYJ,CLE
85,Dwayne Harris,4.669204122,12.63,13.32700222,CHI,NO
86,Donovan Peoples-Jones,5.706423467,16.57,16.35573981,CLE,TEN
87,Alex Erickson,5.134160259,17.63,19.25723648,CIN,PHI
88,Alex Erickson,3.735058438,5.87,6.014960549,CIN,WAS
89,Chris Claybrooks,7.144508671,13.08,11.78909419,JAX,IND
90,Mecole Hardman,18.01499605,1.24,1.184336199,KC,BUF
91,Gunner Olszewski,3.429856784,13.39,15.44405998,NE,LAC
92,Tyler Ervin,5.680477591,0.14,0.17382667,GB,MIN
93,Tommylee Lewis,2.265813492,7.25,7.533250208,NO,ATL
94,Diontae Johnson,5.861936039,5.36,6.756586411,PIT,PHI
95,Brandon Powell,5.784375931,10.82,11.70362358,ATL,CHI
96,Mecole Hardman,39.29136232,13.76,13.61971692,KC,BAL
97,D.J. Reed,6.32718115,5.46,6.4976794,SEA,SF
98,Jakeem Grant,10.82775374,6.5,5.973166697,MIA,NE
99,Kalif Raymond,5.126003671,0.16,0.15181706,TEN,JAX
100,Nyheim Hines,2.662146749,13.48,13.1563537,IND,PIT
101,Mecole Hardman,7.505352527,0.67,0.743783304,KC,NO
102,James Proche,9.046513081,11.11,11.01963896,BAL,PHI
103,Andre Roberts,4.717148362,15.84,17.51824818,BUF,NYJ
104,Nyheim Hines,4.761633353,21.39,22.62534377,IND,PIT
105,Braxton Berrios,7.986918541,15.86,16.64392906,NYJ,SEA
106,Christian Kirk,8.536937308,4.4,5.356708059,ARI,WAS
107,DeAndre Carter,7.174196747,8.98,7.925860547,HOU,JAX
108,Brandon Powell,18.84190699,0.22,0.242745228,ATL,NO
109,Cedrick Wilson,12.83511838,10.44,10.81305023,DAL,SF
110,Trent Taylor,4.737684912,14.3,13.008278,SF,LA
111,Brandon Powell,19.48517107,12.92,11.16005874,ATL,DEN
112,Marquez Callaway,3.837558328,36.53,35.44537163,NO,LAC
113,Hunter Renfrow,1.804949952,29.32,40.9268565,LV,DEN
114,Jakeem Grant,5.644306991,0.37,0.345665172,MIA,BUF
115,Mecole Hardman,4.498162865,11.85,12.13517665,KC,DEN
116,Christian Kirk,4.63548946,5.99,6.131640905,ARI,NE
117,D.J. Reed,4.749631622,4.88,5.229318474,SEA,PHI
118,Pharoh Cooper,13.25259886,3.56,3.41617887,CAR,ATL
119,Jakeem Grant,14.57816699,6.96,7.552902876,MIA,KC
120,Tommylee Lewis,3.651733431,11.83,12.34477721,NO,KC
121,Jakeem Grant,4.989537082,88.3,83.03554636,MIA,LA
122,River Cracraft,7.894424835,3.12,3.009259259,SF,SEA
123,Jamal Agnew,5.293652554,11.51,11.93240722,DET,CAR
124,Diontae Spencer,5.874325501,0.75,0.679840464,DEN,BUF
125,David Moore,15.54519748,0.6,0.688942473,SEA,PHI
126,David Moore,4.710456389,18.57,16.68014012,SEA,ATL
127,Trent Sherfield,7.424477576,2.2,2.409902508,ARI,DAL
128,Nsimba Webster,8.238885224,28.93,28.75745527,LA,ARI
129,Dwayne Harris,2.571777535,3.8,4.452255419,CHI,NO
130,Andre Roberts,3.125707742,18.35,18.20617125,BUF,LAC
131,D.J. Reed,4.134214441,12.88,14.92814094,SEA,LA
132,Deonte Harris,5.03439522,14.14,14.81248691,NO,GB
133,Nsimba Webster,5.525785407,0.64,0.610337593,LA,SEA
134,Diontae Johnson,5.313536935,0.95,0.905710745,PIT,NYG
135,Jakeem Grant,3.636538445,13.45,13.35517823,MIA,NYJ
136,Greg Ward,2.330767764,21.59,23.14040729,PHI,DAL
137,Kenjon Barner,3.555797171,12.97,13.87314151,TB,DET
138,Dede Westbrook,8.695544692,11.06,12.0729178,JAX,LAC
139,Donovan Peoples-Jones,8.146254527,5.71,5.370074297,CLE,IND
140,Greg Ward,4.223336841,6.54,6.459259259,PHI,CLE
141,Isaiah McKenzie,3.072516625,91.43,88.08285164,BUF,MIA
142,Tyler Ervin,5.80534198,10.97,13.57169368,GB,ATL
143,Diontae Johnson,5.130145566,84.83,84.88092856,PIT,DEN
144,Greg Ward,15.84793619,7.47,6.825657895,PHI,WAS
145,Hunter Renfrow,6.001874804,8.64,9.043332636,LV,CLE
146,Hunter Renfrow,5.488903759,8.1,8.41471016,LV,KC
147,DeAndre Carter,8.071921142,2.16,2.166934189,HOU,TEN
148,Jakeem Grant,7.033963994,29.44,30.51409619,MIA,NYJ
149,Jaydon Mickens,3.704206798,12.69,14.39101837,TB,DEN
150,Hunter Renfrow,6.022732443,6.45,7.161096925,LV,ATL
151,Andre Roberts,5.600686702,0.12,0.155118925,BUF,DEN
152,Jordan Wilkins,6.478951834,3.07,3.399025686,IND,MIN
153,Andre Roberts,6.11553238,5.75,6.215544265,BUF,NE
154,Ray-Ray McCloud,2.194475812,13.53,14.23611111,PIT,HOU
155,Jamal Agnew,7.155279263,10.65,10.36395485,DET,CHI
156,Jakeem Grant,5.67538916,6.45,6.221664898,MIA,SF
157,Jabrill Peppers,8.335442321,11.34,13.9004658,NYG,PIT
158,Steven Sims,3.803778273,20.61,21.65598403,WAS,PHI
159,Alex Erickson,3.85505395,8.58,8.169872405,CIN,WAS
160,K.J. Osborn,6.470138023,8.67,8.535144714,MIN,JAX
161,Keke Coutee,3.140988451,11.42,10.63215715,HOU,NE
162,Deonte Harris,3.262003316,22.58,24.89800419,NO,DET
163,Greg Ward,2.731122604,8.96,9.849400901,PHI,CLE
164,JoJo Natson,5.378587999,10.86,10.33990288,CLE,WAS
165,Nyheim Hines,4.104119516,12.41,10.95999293,IND,HOU
166,Ray-Ray McCloud,5.094547194,56.38,61.59729051,PIT,TEN
167,Donovan Peoples-Jones,24.13648866,0.73,0.853003038,CLE,TEN
168,Ray-Ray McCloud,10.04396973,0.7,0.706999293,PIT,CLE
169,Tyrie Cleveland,8.040101053,15.04,13.44537815,DEN,NO
170,Nsimba Webster,6.720284484,14,15.17121803,LA,NYJ
171,Christian Kirk,3.290429263,7.26,6.335078534,ARI,SF
172,River Cracraft,5.917223967,1.12,1.122919591,SF,SEA
173,Alex Erickson,23.65982552,4.47,4.510140248,CIN,BAL
174,Nsimba Webster,6.11435461,8.17,11.16120219,LA,ARI
175,K.J. Hill,5.79257728,8.34,7.491242253,LAC,NO
176,Jakeem Grant,8.632120767,25.4,29.76678777,MIA,LAC
177,Alex Erickson,2.765618472,13.62,13.5306974,CIN,PIT
178,Dede Westbrook,8.429004772,7.57,7.772073922,JAX,LAC
179,Nsimba Webster,6.91595537,0.06,0.065466448,LA,MIA
180,Kalif Raymond,11.43742344,7.73,7.652707653,TEN,BUF
181,Jamal Agnew,14.64741391,9,8.774495467,DET,MIN
182,Ray-Ray McCloud,4.422591864,16.8,19.44219419,PIT,WAS
183,Donovan Peoples-Jones,5.056877199,11.44,10.19607843,CLE,PHI
184,Jakeem Grant,4.386131991,1.51,1.341864392,MIA,CIN
185,Dwayne Harris,6.971632026,19.73,22.91255371,CHI,TEN
186,Kenjon Barner,5.395752341,4.26,4.400371862,TB,MIN
187,Golden Tate,14.40567651,4.79,5.337642077,NYG,PHI
188,Byron Murphy,15.68104904,0.07,0.079033533,ARI,LA
189,Chad Beebe,6.322286503,8.2,7.733660285,MIN,DET
190,Andre Roberts,5.984733234,20.6,20.29756626,BUF,MIA
191,Donovan Peoples-Jones,3.717471859,5.18,5.752998667,CLE,BAL
192,Chad Beebe,3.775434212,9.91,9.711877695,MIN,SEA
193,Jakeem Grant,7.742699566,11.15,10.05954529,MIA,JAX
194,Kalif Raymond,4.220365797,14.14,14.70618825,TEN,JAX
195,Greg Ward,7.624940065,2.27,2.240868707,PHI,NO
196,Marquez Callaway,4.575566941,14.25,16.76470588,NO,LAC
197,James Proche,2.991754878,25.19,28.05747382,BAL,JAX
198,Jamal Agnew,5.059057095,5.12,5.490616622,DET,CAR
199,Nyheim Hines,7.064956619,2.39,3.166401696,IND,BAL
200,Gunner Olszewski,3.648623127,19.71,19.41489362,NE,LA
201,Richie James,3.343671693,7.09,6.209493782,SF,LA
202,James Proche,4.287621582,3.18,3.103650205,BAL,WAS
203,Cooper Kupp,5.341613775,7.37,6.332703214,LA,PHI
204,Nyheim Hines,7.145078045,7.6,7.198333018,IND,JAX
205,Hunter Renfrow,2.186323279,21.49,22.35746983,LV,DEN
206,Nyheim Hines,6.597635136,4.68,4.971319312,IND,CHI
207,David Moore,6.051787205,13.74,15.03940455,SEA,MIN
208,Christian Kirk,7.87246252,21.99,23.2501586,ARI,NYG
209,Pharoh Cooper,4.896385574,3.61,3.805207126,CAR,TB
210,Cooper Kupp,3.680710227,2.24,2.277811674,LA,WAS
211,Tavon Austin,11.49035732,6.62,7.071138646,GB,CAR
212,Jabrill Peppers,3.611691365,9.91,13.61076775,NYG,PHI
213,Jamal Agnew,3.253271826,17.38,19.61403905,DET,CHI
214,Jakeem Grant,9.633646615,1.28,1.329041636,MIA,BUF
215,Matt Slater,5.198380893,5,4.869971754,NE,BUF
216,Deonte Harris,4.255609346,17.17,17.12376583,NO,TB
217,Pharoh Cooper,4.031718343,7.25,7.794022791,CAR,DET
218,Ray-Ray McCloud,4.004691389,11.52,11.70612743,PIT,CIN
219,Jakeem Grant,3.6509991,15.76,14.19180549,MIA,JAX
220,Brandon Powell,2.604186778,10.52,11.21774366,ATL,LAC
221,DeAndre Carter,3.757260424,10.03,10.68726692,HOU,BAL
222,James Proche,1.9703925,9.9,9.301014656,BAL,CIN
223,Steven Sims,10.65418416,0.25,0.240662303,WAS,PHI
224,Ray-Ray McCloud,5.671185934,0.01,0.01023332,PIT,CIN
225,Anthony Miller,9.232152872,0.82,1.041931385,CHI,MIN
226,Kalif Raymond,8.987904484,0.12,0.115340254,TEN,HOU
227,Christian Kirk,13.06147991,6.62,7.078699743,ARI,MIA
228,Pharoh Cooper,27.7195689,14.03,18.49459531,CAR,LAC
229,Gunner Olszewski,7.697605585,4.18,4.351900052,NE,MIA
230,Keelan Cole,5.290191465,10.15,10.27223965,JAX,PIT
231,Greg Ward,4.548946583,2.41,2.544072627,PHI,WAS
232,K.J. Osborn,11.45481025,5.71,6.197091383,MIN,DET
233,Kalif Raymond,3.839436143,11.98,13.21858104,TEN,IND
234,Gunner Olszewski,4.001749988,86.95,86.32843527,NE,ARI
235,Hunter Renfrow,4.334144381,26.07,26.92347413,LV,CAR
236,Hunter Renfrow,2.810577811,33.41,35.34327727,LV,MIA
237,David Moore,11.39338205,19.37,19.83411837,SEA,SF
238,James Proche,3.849592393,6.66,6.594712348,BAL,TEN
239,James Proche,6.646232303,1.32,1.537386443,BAL,PIT
240,Hunter Renfrow,3.581229438,11.78,11.0423697,LV,LAC
241,Ray-Ray McCloud,2.639601164,12.72,12.97694348,PIT,TEN
242,Mecole Hardman,10.38559315,77.64,87.72881356,KC,MIA
243,CeeDee Lamb,5.79975275,0,0,DAL,CIN
244,D'Ernest Johnson,5.133701304,0.65,0.625240477,CLE,WAS
245,K.J. Hill,6.117186585,1.26,1.404525694,LAC,CAR
246,Deonte Harris,6.76932544,0.84,0.80198587,NO,CAR
247,DeAndre Carter,4.975144246,8.75,8.805474489,HOU,CLE
248,River Cracraft,5.581188775,20.92,23.30659537,SF,SEA
249,Devin Duvernay,10.9149162,5.62,7.401554063,BAL,CIN
250,Steven Sims,14.80374704,10.11,8.815066702,WAS,PHI
251,Brandon Powell,5.408650213,6.67,8.378344429,ATL,NO
252,Mecole Hardman,5.403292579,7.85,7.223040118,KC,ATL
253,Kalif Raymond,2.58438626,9.13,8.493023256,TEN,DEN
254,Jakeem Grant,4.945780058,8.11,8.698916658,MIA,ARI
255,JoJo Natson,4.651405581,4.03,3.760029856,CLE,BAL
256,Greg Ward,4.314945623,11.31,10.39617612,PHI,NYG
257,K.J. Osborn,7.446975779,4.83,4.911032028,MIN,CHI
258,Tommylee Lewis,5.78712645,9.38,10.5015674,NO,PHI
259,Braxton Berrios,7.662586941,0.23,0.279601264,NYJ,MIA
260,Ray-Ray McCloud,5.328505781,17.87,22.29569557,PIT,CLE
261,Steven Sims,3.28004209,19.29,22.26968368,WAS,CLE
262,Dwayne Harris,5.20761178,3.39,3.4409257,CHI,TEN
263,Austin Carr,6.164219334,0.39,0.354513226,NO,MIN
264,Diontae Spencer,4.019545459,20.26,21.64761192,DEN,LAC
265,Diontae Spencer,4.15035065,1.56,1.701941959,DEN,MIA
266,Nsimba Webster,7.185285589,1.48,2.014427658,LA,CHI
267,Nyheim Hines,4.973558149,7.03,7.679702862,IND,CIN
268,Golden Tate,6.113314778,13.38,15.35283993,NYG,LA
269,Jakeem Grant,3.693600827,14.51,16.59233848,MIA,NYJ
270,Steven Sims,7.227515261,4.61,4.23013397,WAS,ARI
271,D'Ernest Johnson,2.61650922,10.67,11.82926829,CLE,NYJ
272,Pharoh Cooper,11.04007396,19.74,17.23415401,CAR,MIN
273,Steven Sims,10.90094844,9.65,10.19222645,WAS,CIN
274,Deonte Harris,9.435373019,45.75,58.22833142,NO,CHI
275,Greg Ward,5.772576932,12.87,12.33112963,PHI,SEA
276,Hunter Renfrow,1.247205186,12.19,10.61107242,LV,MIA
277,Jaydon Mickens,4.271658671,14.95,14.75814413,TB,GB
278,Anthony Miller,5.856776479,15.14,19.48269206,CHI,MIN
279,Nsimba Webster,11.71054105,0.69,0.707184585,LA,SF
280,Nyheim Hines,7.016251388,6.72,7.010223242,IND,BAL
281,Steven Sims,8.402023001,15.15,13.36804024,WAS,SF
282,CeeDee Lamb,7.994222131,3.45,3.424657534,DAL,PIT
283,Gunner Olszewski,2.139763351,6.68,7.227872755,NE,HOU
284,Jakeem Grant,4.16736596,5.49,5.425973513,MIA,CIN
285,Donovan Peoples-Jones,11.29979203,0.33,0.408668731,CLE,PHI
286,Gunner Olszewski,4.7003881,16.3,22.34713463,NE,BUF
287,Andre Roberts,5.77294868,14.63,14.23290203,BUF,NE
288,Tyler Ervin,6.194569871,0.69,0.694864048,GB,DET
289,Jaydon Mickens,2.907401784,29.2,28.66398351,TB,DEN
290,Isaiah Wright,6.219754184,12.6,15.06816551,WAS,LA
291,Hunter Renfrow,9.031870022,10.35,11.04117773,LV,CAR
292,Pharoh Cooper,4.76470871,15.31,13.97152765,CAR,DET
293,Ted Ginn,7.207844418,4.65,4.570923032,CHI,IND
294,Jaydon Mickens,4.04487303,11.54,11.46091965,TB,LAC
295,Jabrill Peppers,4.064795741,22.4,23.02631579,NYG,DAL
296,Trent Taylor,5.432832851,12.98,12.50963763,SF,DAL
297,DeAndre Carter,12.00518732,1.04,1.10555969,CHI,JAX
298,Andre Roberts,2.257218639,16.94,16.33558341,BUF,NYJ
299,Myles Hartsfield,7.535064908,1.27,1.750516885,CAR,GB
300,J.J. Taylor,7.27765072,10.7,9.85267035,NE,LV
301,Braxton Berrios,1.993204575,11.43,12.11575154,NYJ,CLE
302,DeAndre Carter,14.61588557,3.98,3.806791009,CHI,DET
303,Demarcus Robinson,16.24644249,8.54,7.971623261,KC,NO
304,River Cracraft,5.518074712,5.99,6.084306755,SF,SEA
305,James Proche,3.779079806,11.92,12.06477733,BAL,PIT
306,Braxton Berrios,5.072314591,12.78,14.07024111,NYJ,DEN
307,Mecole Hardman,7.349619857,7.38,7.825257131,KC,LV
308,Kalif Raymond,6.117097352,16.55,15.2520505,TEN,IND
309,K.J. Hill,14.99595624,10.23,11.42506143,LAC,CAR
310,Jaydon Mickens,4.48556983,1.78,1.73981038,TB,NO
311,Nyheim Hines,9.422838873,2.14,2.703044082,IND,GB
312,Kalif Raymond,4.417289847,2.56,2.28673515,TEN,CIN
313,K.J. Hill,7.733509749,6.93,6.787463271,LAC,DEN
314,Gunner Olszewski,3.08678452,12.08,13.43864724,NE,NYJ
315,CeeDee Lamb,6.051248723,0.23,0.25994575,DAL,CIN
316,Jamal Agnew,4.899829294,77.69,83.17096671,DET,TB
317,James Proche,3.968502615,14.16,14.1134257,BAL,WAS
318,Nyheim Hines,1.655342418,12.56,15.36015654,IND,CHI
319,James Proche,10.89349386,1.41,1.397146254,BAL,CIN
320,Jakeem Grant,11.44286718,12.57,13.37234043,MIA,NYJ
321,Jamal Agnew,5.967480695,2.47,2.20476658,DET,TEN
322,Andre Roberts,5.948630002,21.13,25.72437302,BUF,PIT
323,Jaydon Mickens,6.421113795,11.54,11.70029403,TB,CHI
324,Marquez Callaway,3.468655156,17.42,19.15970084,NO,LAC
325,Keelan Cole,10.51574608,0.16,0.16,JAX,PIT
326,James Proche,3.897797136,16.56,16.29119528,BAL,CLE
327,Ray-Ray McCloud,11.87748511,7.9,8.24806849,PIT,CIN
328,Ray-Ray McCloud,6.750085836,5.32,6.144606145,PIT,BAL
329,Jamal Agnew,6.976918049,1.52,1.762114537,DET,IND
330,Ray-Ray McCloud,20.87139494,17.73,18.59270134,PIT,HOU
331,Andre Roberts,1.934678919,39.31,38.16134356,BUF,LV
332,D.J. Reed,5.364241503,0.8,1.012530059,SEA,WAS
333,CeeDee Lamb,6.77959785,1.07,1.045023928,DAL,PHI
334,Donovan Peoples-Jones,6.033867644,7,6.153846154,CLE,JAX
335,Kenjon Barner,4.760710335,0.45,0.468798833,TB,ATL
336,Hunter Renfrow,2.120152748,8.21,9.082863149,LV,MIA
337,Brandon Powell,16.49033745,2.52,2.567760342,ATL,LV
338,Mecole Hardman,7.714712065,9.61,10.40155861,KC,ATL
339,Andre Roberts,7.905609805,17.38,16.92142927,BUF,NYJ
340,Diontae Johnson,5.75499996,18.1,15.74049917,PIT,DEN
341,Richie James,4.868426222,9.66,9.073830547,SF,DAL
342,Jamal Agnew,7.702339118,9.14,9.641350211,DET,CHI
343,D.J. Reed,5.145217063,0.54,0.883797054,SEA,NYJ
344,Jamal Agnew,13.44773667,0.97,1.052860089,DET,ATL
345,Alex Erickson,3.151208286,9.22,10.33632287,CIN,MIA
346,Jaydon Mickens,5.667142137,1.77,2.002262443,TB,DEN
347,Gunner Olszewski,4.254101841,8.8,10.34320639,NE,ARI
348,Mecole Hardman,15.54767435,1.7,1.666993528,KC,NYJ
349,Ray-Ray McCloud,3.933628,8.87,13.10192024,PIT,IND
350,Kalif Raymond,13.20085603,1.35,1.341015198,TEN,DEN
351,Jakeem Grant,5.875066931,11.22,10.28508571,MIA,NYJ
352,Greg Stroman,3.001728718,1.95,2.491376006,WAS,ARI
353,Nyheim Hines,12.79839438,40.63,43.6271878,IND,HOU
354,Donovan Peoples-Jones,8.613657287,9.37,9.82695333,CLE,NYG
355,Marquez Callaway,19.97823764,4.37,5.39839407,NO,ATL
356,James Proche,12.29973598,3.56,3.6043333,BAL,IND
357,Jakeem Grant,7.479541484,0.92,1.075897556,MIA,CIN
358,Alex Erickson,6.578377277,2.03,1.929474385,CIN,PIT
359,David Moore,7.357907845,7.37,7.011702026,SEA,SF
360,Andre Roberts,5.643016889,4.77,5.12242268,BUF,DEN
361,Nsimba Webster,9.790601385,0.25,0.245146107,LA,TB
362,Christian Kirk,6.698932746,0.28,0.259235256,ARI,SF
363,Jonathan Jones,36.08073883,5.66,5.118003436,NE,DEN
364,DeAndre Carter,4.632764158,13.34,13.23806688,HOU,GB
365,Nsimba Webster,21.32519347,9.22,10.08752735,LA,SF
366,Steven Sims,4.30981707,12.35,10.91954023,WAS,SEA
367,Deonte Harris,8.700281605,14.93,18.5235732,NO,TB
368,Diontae Spencer,5.156775396,18.22,18.32997988,DEN,LV
369,Alex Erickson,2.544802382,22.21,20.29422515,CIN,LAC
370,Hunter Renfrow,14.77605094,11.81,12.96519925,LV,NYJ
371,Tavon Austin,1.977127305,1.69,1.679586563,GB,DET
372,Tommylee Lewis,14.57068234,9.16,10.58959538,NO,CAR
373,Jakeem Grant,5.552215829,8.93,7.782813317,MIA,SEA
374,Steven Sims,6.324952363,2.65,3.081395349,WAS,CIN
375,Chad Beebe,4.746869781,11.52,10.70234114,MIN,DET
376,Nyheim Hines,4.956714453,20.47,20.27334852,IND,MIN
377,Braxton Berrios,4.777762254,9.18,8.916949976,NYJ,ARI
378,Deonte Harris,8.41642307,3.19,3.904050912,NO,SF
379,Trey Quinn,4.460300065,5.67,7.446808511,JAX,CLE
380,Pharoh Cooper,3.601694046,20.64,17.34745335,CAR,GB
381,James Proche,8.540857458,3.02,3.610280932,BAL,CIN
382,K.J. Hill,0.731095069,0.91,1.12138016,LAC,LV
383,K.J. Hamler,6.966727255,2.32,2.449065766,DEN,KC
384,David Moore,10.06583047,5.66,5.87502595,SEA,BUF
385,Kalif Raymond,2.616327753,10.88,11.79148152,TEN,IND
386,Nsimba Webster,12.90242967,6.72,6.913580247,LA,WAS
387,Gunner Olszewski,12.77411647,1.07,1.099013969,NE,LA
388,Diontae Spencer,8.532504946,89.76,87.43424898,DEN,CAR
389,Jalen Reagor,8.746159973,11.69,11.28160587,PHI,WAS
390,Keke Coutee,3.612578623,3.04,3.12596401,HOU,IND
391,Nsimba Webster,10.21458433,16.81,15.36141826,LA,SEA
392,Diontae Johnson,5.256046108,11.56,11.36117936,PIT,IND
393,Andre Roberts,11.85712237,10.37,10.07970451,BUF,SEA
394,DeAndre Carter,8.570221429,7.75,6.926445616,HOU,PIT
395,Hunter Renfrow,4.556665206,21.15,25.67059109,LV,MIA
396,James Proche,6.062745847,8.7,9.786276715,BAL,PHI
397,Mecole Hardman,29.33454613,0.72,0.67264574,KC,BUF
398,Deonte Harris,16.63494292,14.26,17.61146103,NO,CHI
399,Antonio Brown,6.243026379,2.53,2.801151461,TB,KC
400,Steven Sims,5.232420187,4.69,4.506149116,WAS,DET
401,Hunter Renfrow,3.029521487,2.37,2.615028136,LV,KC
402,Greg Ward,5.272343612,7.82,7.893408701,PHI,WAS
403,Ray-Ray McCloud,7.772668038,7.24,7.564517814,PIT,CIN
404,Jabrill Peppers,2.092799703,15.94,14.79762347,NYG,CLE
405,DeAndre Carter,4.157276847,11.36,12.08896456,CHI,JAX
406,Kenjon Barner,6.376461835,3.32,2.975443628,TB,LA
