nflId,height,weight,birthDate,collegeName,Position,displayName
40042,73.0,336,1989-02-21,Missouri Southern,NT,Brandon Williams
43435,75.0,261,1992-08-15,Grand Valley State,OLB,Matt Judon
47868,77.0,275,1995-12-14,Louisiana Tech,OLB,Jaylon Ferguson
52514,77.0,345,1997-01-29,Mississippi State,G,Tyre Phillips
43663,72.0,195,1992-11-06,Wisconsin,WR,Alex Erickson
44999,72.0,205,1995-04-19,Virginia Tech,SS,Chuck Clark
47965,68.0,206,1997-10-18,Texas A&amp;M,RB,Trayveon Williams
53086,75.0,220,,,LB,Keandre Jones
40003,76.0,267,1990-06-13,Rice,TE,Vance McDonald
40476,71.0,200,1990-12-25,Towson,SS,Jordan Dangerfield
41590,75.0,240,1991-11-11,Toledo,OLB,Jayrone Elliott
41688,72.0,190,1992-02-19,Auburn,K,Cody Parkey
43347,73.0,202,1993-10-23,Maryland,FS,Sean Davis
43465,73.0,238,1993-05-23,Nebraska,FB,Andy Janovich
43487,74.0,234,1992-11-07,Wisconsin,FB,Derek Watt
45045,74.0,229,1996-02-08,Kansas State,OLB,Elijah Lee
46122,71.0,205,1995-09-16,North Carolina,CB,M.J. Stewart
46217,74.0,215,1996-08-07,Penn State,FS,Marcus Allen
46234,72.0,225,1996-07-20,North Carolina State,RB,Jaylen Samuels
46256,69.0,190,1996-10-15,Clemson,WR,Ray-Ray McCloud
46457,73.0,248,1997-09-12,Toledo,OLB,Olasunkanmi Adeniyi
46543,76.0,280,1995-09-19,Oregon,DE,Henry Mondeaux
46672,70.0,205,1996-03-11,Ferris State,CB,Tavierre Thomas
46684,73.0,224,1996-08-14,Chattanooga,ILB,Tae Davis
46992,74.0,205,1995-01-03,Prairie View,WR,Khadarel Hodge
47605,70.0,208,1996-02-27,South Florida,RB,D'Ernest Johnson
47902,72.0,196,1996-11-06,Miami,FS,Sheldrick Redwine
48136,76.0,240,1996-12-12,Princeton,TE,Stephen Carlson
52457,76.0,227,1998-07-07,Notre Dame,WR,Chase Claypool
53022,72.0,210,1996-12-25,Middle Tennessee,SS,Jovante Moffatt
42333,77.0,195,1991-03-18,Eastern Kentucky,P,Jordan Berry
43606,76.0,245,1992-08-20,Portland State,LS,Kameron Canaday
47866,74.0,192,1998-01-12,Michigan State,CB,Justin Layne
47905,70.0,223,1998-02-27,Kentucky,RB,Benny Snell
48539,77.0,260,1997-02-08,Southern California,DE,Porter Gustin
52510,76.0,242,1997-08-07,North Carolina-Charlotte,OLB,Alex Highsmith
52595,74.0,208,1999-02-19,Michigan,WR,Donovan Peoples-Jones
52697,74.0,185,1996-09-16,Florida Atlantic,CB,James Pierre
35449,75.0,304,1987-05-12,California,DE,Tyson Alualu
38955,76.0,248,1990-05-16,Central Florida,LS,Charley Hughlett
40070,76.0,307,1991-02-12,Cornell,C,J.C. Tretter
40154,73.0,233,1989-12-27,Florida State,ILB,Vince Williams
41264,76.0,320,1991-10-11,Nevada,G,Joel Bitonio
41380,73.0,246,1992-03-09,Kentucky,ILB,Avery Williamson
42441,71.0,194,1993-01-22,Oregon State,CB,Steven Nelson
43297,78.0,308,1994-08-17,Michigan State,T,Jack Conklin
44886,77.0,300,1993-08-25,Michigan,DE,Chris Wormley
44906,71.0,188,1995-02-27,Tennessee,CB,Cameron Sutton
45798,77.0,307,1994-08-28,Maryland,T,Michael Dunn
46080,73.0,207,1996-11-17,Alabama,SS,Minkah Fitzpatrick
46235,76.0,315,1994-11-21,Virginia Tech,G,Wyatt Teller
47975,75.0,295,1996-08-24,Alabama,DE,Isaiah Buggs
48139,73.0,207,1997-07-04,Arkansas-Pine Bluff,P,Jamie Gillan
52418,77.0,320,1999-05-17,Alabama,T,Jedrick Wills
53024,81.0,294,1997-04-29,South Carolina State,T,Alex Taylor
43303,70.0,200,1993-09-08,West Virginia,SS,Karl Joseph
46446,76.0,250,1995-04-26,Youngstown State,TE,Kevin Rader
41275,78.0,303,1993-05-23,Notre Dame,DE,Stephon Tuitt
46383,72.0,227,1996-05-10,Indiana,LB,Tegray Scales
38554,77.0,316,1990-01-11,Stanford,G,David DeCastro
38602,74.0,262,1990-10-07,Miami,DE,Olivier Vernon
39959,75.0,294,1990-11-29,Missouri,DT,Sheldon Richardson
41222,81.0,320,1988-09-22,Army,T,Alejandro Villanueva
43412,78.0,305,1993-10-16,Louisiana State,T,Jerald Hawkins
44813,76.0,272,1995-12-29,Texas A&amp;M,DE,Myles Garrett
45007,75.0,311,1994-01-05,Oklahoma State,DT,Vincent Taylor
46161,78.0,320,1997-08-08,Western Michigan,T,Chukwuma Okorafor
47863,73.0,238,1995-06-08,Brigham Young,OLB,Sione Takitaki
48329,72.0,179,03/22/1996,Central Florida,K,Matthew Wright
52543,76.0,321,1996-09-18,Louisiana-Lafayette,G,Kevin Dotson
46508,74.0,215,1994-09-20,Grambling,SS,Montrel Meander
52606,71.0,215,,Maryland,DB,Antoine Brooks
53018,73.0,185,1998-06-09,Oklahoma State,CB,A.J. Green
43370,76.0,254,1994-10-29,Stanford,TE,Austin Hooper
41947,75.0,250,1991-02-18,Florida State,OLB,Christian Jones
42397,69.0,203,1993-06-13,Nebraska,RB,Ameer Abdullah
43400,74.0,222,1993-05-10,Southern Utah,FS,Miles Killebrew
43971,71.0,235,1993-07-22,"Augustana, S.D.",FB,C.J. Ham
44833,73.0,245,1994-11-16,Florida,MLB,Jarrad Davis
44909,73.0,200,1993-11-19,Clemson,CB,Cordrea Tankersley
44937,72.0,233,1995-01-31,Tennessee,OLB,Jalen Reeves-Maybin
44978,70.0,190,1995-04-03,San Diego,WR,Jamal Agnew
45223,72.0,235,1994-01-05,Illinois,ILB,Hardy Nickerson
46151,73.0,210,1995-02-01,Louisiana-Lafayette,FS,Tracy Walker
46226,75.0,254,1995-07-30,Central Michigan,TE,Tyler Conklin
46424,73.0,235,1996-03-17,Penn State,MLB,Jason Cabinda
46823,72.0,196,1995-08-04,Southeast Missouri,CB,Mike Ford
47864,73.0,207,1995-12-19,Boston College,SS,Will Harris
47926,74.0,242,1995-10-03,Wisconsin,OLB,Ryan Connelly
48030,72.0,203,1997-03-17,Colorado State,WR,Olabisi Johnson
48122,76.0,245,1996-08-19,Alabama,TE,Hale Hentges
48258,74.0,224,1996-09-01,Rice,P,Jack Fox
48454,71.0,195,1995-12-15,Mississippi,FS,C.J. Moore
52613,72.0,210,1998-01-21,Michigan,DB,Josh Metellus
52878,75.0,202,1997-02-25,Penn State,WR,Dan Chisena
52886,75.0,225,1997-02-14,Baylor,LB,Blake Lynch
34723,75.0,210,1985-03-20,Tennessee,P,Britton Colquitt
39750,74.0,230,07/28/1987,Rutgers,LS,Andrew DePaola
42827,71.0,190,1993-03-27,Tennessee,CB,Justin Coleman
43600,75.0,259,1993-04-24,Wyoming,DE,Eddie Yarbrough
43775,76.0,263,1995-06-17,Notre Dame,DE,Romeo Okwara
46461,70.0,205,1995-07-30,Cincinnati,RB,Mike Boone
47900,78.0,261,1996-11-12,Clemson,DE,Austin Bryant
29468,76.0,258,1981-08-17,Texas A&amp;M,LS,Don Muhlbach
46534,70.0,185,1994-06-01,Northern Illinois,WR,Chad Beebe
47826,74.0,250,1996-09-28,Hawaii,MLB,Jahlani Tavai
48036,75.0,252,1995-10-09,Oklahoma State,OLB,Jordan Brailford
52577,72.0,192,1998-11-12,Temple,CB,Harrison Hand
31446,70.0,201,1984-08-10,Central Florida,K,Matt Prater
38559,74.0,214,1989-02-02,Notre Dame,SS,Harrison Smith
40089,77.0,315,1991-06-05,Virginia,G,Oday Aboushi
41449,77.0,310,1991-02-25,Connecticut,NT,Shamar Stephen
42138,73.0,230,1992-05-17,Sacramento State,ILB,Todd Davis
42503,79.0,250,1994-06-04,Penn State,TE,Jesse James
42830,73.0,202,1991-10-09,Virginia,FS,Anthony Harris
43453,78.0,320,1993-06-16,Texas Christian,T,Halapoulivaati Vaitai
44922,75.0,316,1994-07-12,Iowa,DT,Jaleel Johnson
45215,73.0,230,1994-09-26,Cincinnati,OLB,Eric Wilson
45721,81.0,325,1994-09-20,Arkansas,T,Dan Skipper
46679,74.0,302,1996-09-16,Southern Methodist,G,Evan Brown
47973,77.0,295,1996-07-22,Arkansas,NT,Armon Watts
48455,79.0,299,1995-12-19,Iowa,T,Matt Nelson
52439,72.0,183,1996-12-12,Texas Christian,CB,Jeff Gladney
52483,76.0,305,1997-02-05,Ohio State,G,Jonah Jackson
52525,77.0,260,1997-10-31,South Carolina,DE,D.J. Wonnum
38134,72.0,190,1988-01-26,Oklahoma State,K,Dan Bailey
40039,73.0,205,1991-01-24,Rutgers,SS,Duron Harmon
40171,76.0,309,1990-02-21,Samford,DT,Nicholas Williams
40551,74.0,315,1991-07-29,"Regina, Can.",C,Brett Jones
41366,76.0,313,1991-04-30,Furman,G,Dakota Dozier
43640,78.0,313,1992-01-12,Southern Mississippi,T,Rashod Hill
46131,79.0,297,1995-09-15,Pittsburgh,T,Brian O'Neill
47897,77.0,308,1997-08-22,Oklahoma,G,Dru Samia
47929,74.0,203,1996-02-09,Penn State,CB,Amani Oruwariye
47976,77.0,323,1997-02-14,Elon,T,Olisaemeka Udoh
48462,76.0,285,1996-08-05,Texas-San Antonio,DT,Kevin Strong
52466,78.0,310,1998-05-08,Boise State,G,Ezra Cleveland
46112,71.0,212,1997-06-30,Auburn,RB,Kerryon Johnson
52574,73.0,205,1998-04-01,Wisconsin,WR,Quintez Cephus
52910,74.0,239,1998-08-20,Washington,TE,Hunter Bryant
35539,75.0,273,1987-12-22,Southern California,DE,Everson Griffen
48495,69.0,188,1997-08-19,Appalachian State,CB,Tae Hayes
38613,74.0,215,1989-08-22,Rutgers,WR,Mohamed Sanu
42355,74.0,345,1993-08-20,Washington,DT,Danny Shelton
37211,70.0,242,1988-12-11,Connecticut,RB,Anthony Sherman
42663,74.0,205,1993-04-06,Alabama-Birmingham,P,Ty Long
43845,75.0,230,1993-01-30,California,TE,Stephen Anderson
43986,72.0,190,1993-01-24,South Carolina State,CB,Antonio Hamilton
44202,72.0,200,1993-06-14,"Regina, Can.",CB,Tevaughn Campbell
45362,75.0,207,1993-02-24,Alabama,WR,Gehrig Dieter
45516,75.0,229,1994-10-31,Illinois State,MLB,B.J. Bello
46193,71.0,205,1996-03-19,Texas A&amp;M,SS,Armani Watts
46445,76.0,251,1995-05-02,Grand Valley State,TE,Nick Keizer
46522,73.0,205,1993-11-17,Kansas State,WR,Byron Pringle
46526,71.0,224,1995-04-15,Louisiana State,RB,Darrel Williams
46729,74.0,197,1994-09-08,Virginia Tech,CB,Brandon Facyson
47846,72.0,205,1995-10-19,Virginia,FS,Juan Thornhill
47983,74.0,245,1996-10-13,Houston,OLB,Emeke Egbule
47984,71.0,188,1997-02-17,South Carolina,CB,Rashad Fenton
48259,74.0,238,1996-01-17,Middle Tennessee,ILB,Darius Harris
52471,74.0,235,1998-02-15,Mississippi State,OLB,Willie Gay
52594,71.0,202,1997-09-17,Notre Dame,SS,Alohi Gilman
52801,74.0,195,1998-03-10,Western Carolina,DB,John Brannon
